Dates,Lessons
Sep 11 2018,"Welcome to the ND, Welcome to Digital Marketing, DM Framework, What: Your Business, Your Customer"
Sep 12 2018,"Your Customer, Where: Marketing Channel, Why: Marketing Objectives"
Sep 13 2018-Sep 19 2018,Project: Welcome to 1st Project
Sep 20 2018,"Plan your Strategy, Create Content, Promote Content"
Sep 21 2018,"Promote Content, Optimize Website UX, Measure Impact"
Sep 22 2018,"Measure Impact, Jobs in Content Marketing, Social Media Landscape"
Sep 23 2018,"Social Media Landscape, Social Media Channels, Social Media Content"
Sep 24 2018,"Social Media Content, Implement & Monitor Content, Measure Impact"
Sep 25 2018,Measure Impact
Sep 26 2018-Oct 02 2018,Project: Market your Content
Oct 03 2018,"Intro to social media adv., Choose the right platforms, Facebook – getting started, Facebook – create ad sets, Facebook – create & manage"
Oct 04 2018-Oct 10 2018,Project: Facebook Campaign - I
Oct 11 2018-Oct 17 2018,Project: Facebook Campaign - II
Oct 18 2018,"How search works, Keywords, Tags & Site Structure, Link Building, SEO Audit"
Oct 19 2018,SEO Audit
Oct 20 2018-Oct 26 2018,Project: Conduct SEO Audit
Oct 27 2018,"Intro to SEM, Keywords, Text Ads, Ad Rank/ CPC bid, Navigate Adwords"
Oct 28 2018,"Navigate Adwords, Metrics & Optimizations"
Oct 29 2018-Nov 04 2018,Project: Run Adwords Campaign – I
Nov 05 2018-Nov 11 2018,Project: Run Adwords Campaign - II
Nov 12 2018,"How do Ads work?, Display ads & targeting, Display advertising sales, Display adv w/ Adwords, Video Advertising"
Nov 13 2018,Video Advertising
Nov 14 2018-Nov 20 2018,Project: Evaluate ad campaign
Nov 21 2018,"Email list generation, Create effective email, Create email plan"
Nov 22 2018,"Create email plan, Measure results"
Nov 23 2018-Nov 29 2018,Project: Market w/ email
Nov 30 2018,"Get oriented, Understand your Audience, Evaluate Acquisition"
Dec 01 2018,"Evaluate Acquisition, Understand Behavior, Evaluate Conversion"
Dec 02 2018,"Evaluate Conversion, Project: Improve LinkedIn , Create a marketing plan"
