Dates,Lessons
Sep 11 2018,"Welcome to the ND, Life of a DA"
Sep 12 2018-Sep 18 2018,Project: Weather Trends
Sep 19 2018,"Anaconda, Jupyter Notebook"
Sep 20 2018-Sep 21 2018,Data Analysis Process
Sep 22 2018-Sep 24 2018,DA Process : Case 1
Sep 25 2018-Sep 27 2018,DA Process : Case 2
Sep 28 2018,Programming Workflow for DA
Sep 29 2018-Oct 05 2018,Project: Investigate a dataset
Oct 06 2018,"Descriptive stats - I, Descriptive stats - II"
Oct 07 2018,Admissions case study
Oct 08 2018,"Probability, Binomial Distribution, Conditional Probability, Bayes Rule"
Oct 09 2018,Bayes Rule
Oct 10 2018-Oct 11 2018,Python Probability Practice
Oct 12 2018,Normal dist. theory
Oct 13 2018,Sampling dist. & Central thm
Oct 14 2018,Confidence Intervals
Oct 15 2018-Oct 16 2018,Hypothesis Testing
Oct 17 2018-Oct 18 2018,Case Study: A/B tests
Oct 19 2018-Oct 20 2018,Regression
Oct 21 2018-Oct 22 2018,Multiple Linear Regression
Oct 23 2018,Logistic Regression
Oct 24 2018-Oct 30 2018,Project: Analyze A/B results
Oct 31 2018-Nov 01 2018,Intro to Data Wrangling
Nov 02 2018-Nov 03 2018,Gathering Data
Nov 04 2018,Assessing Data
Nov 05 2018-Nov 06 2018,Cleaning Data
Nov 07 2018-Nov 13 2018,Project: Wrangle & Analyze
Nov 14 2018,"Data viz in DA, Designs of Visualizations, Univariate Exp of data, Bivariate Exp of data"
Nov 15 2018,"Bivariate Exp of data, Multivariate Exp of data, Explanatory Visualizations"
Nov 16 2018,"Explanatory Visualizations, Visualization Case Study"
Nov 17 2018-Nov 23 2018,Project: Communicate Data Findings
